[2026-03-30 16:03:22] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=meu-dashboard uri=/tokencafe/index.php?page=meu-dashboard&tab=explorer
[2026-03-30 16:03:23] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:03:32] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-30 16:03:32] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:03:37] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=admin uri=/tokencafe/index.php?page=admin
[2026-03-30 16:03:37] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:03:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-30 16:03:44] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:07:00] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-30 16:07:00] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:07:04] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs-resumo uri=/tokencafe/index.php?page=logs-resumo
[2026-03-30 16:07:04] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:07:54] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=logs-resumo uri=/tokencafe/index.php?page=logs-resumo
[2026-03-30 16:07:55] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:09:38] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-30 16:09:38] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:09:43] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=admin uri=/tokencafe/index.php?page=admin
[2026-03-30 16:09:43] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:11:17] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-30 16:11:18] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:11:22] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=admin uri=/tokencafe/index.php?page=admin
[2026-03-30 16:11:22] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:11:26] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=meu-dashboard uri=/tokencafe/index.php?page=meu-dashboard
[2026-03-30 16:11:26] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:11:34] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=meu-dashboard uri=/tokencafe/index.php?page=meu-dashboard&tab=explorer
[2026-03-30 16:11:34] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=index.php uri=/tokencafe/tools-header.php
[2026-03-30 16:11:37] ip=::1 wallet=0x0b81337f18767565d2ea40913799317a25dc4bc5 page=meu-dashboard uri=/tokencafe/index.php?page=meu-dashboard&tab=meu
